asset,year,partition,rep_period,specification
SK_electrolyzer,2050,1,1,uniform
UK_Battery,2050,1,1,uniform
UK_E_Balance,2050,1,1,uniform
UK_E_Demand,2050,2;5;1;2;3;3;1;1;1;1;1;1;1;3;4;1;1;2;1;1;1;2;1;1;3;1;1;1;1;2;3;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;4;3;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;2;4;1;1;2;1;1;3;1;1;1;1;1;1;1;1;1;3;2;2;1;1;1;2;1;1;2;1;3;1;1;1;1;2;2;3;1;1;1;6;1;4;9;1;1;2;1;1;1;3;1;1;2;1;1;1;1;1;3;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;3;2;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1;3;4;1;1;2;1;1;3;1;1;3;1;1;1;4;3;1;1;2;1;1;4;1;1;1;1;1;1;1;1;5;2;1;1;1;1;1;2;1;1;1;1;3;1;4;5;1;1;1;1;1;1;2;1;1;1;2;1;1;1;2;2;3;1;1;2;1;1;3;1;1;1;2;1;1;1;3;3;1;1;1;2;1;1;1;2;1;1;1;2;1;1;1;6;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1;1;2;4;1;1;2;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;3;1;1;1;1;1;2;3;1;1;3;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;2;5;1;1;1;1;1;1;3;1;1;1;2;1;1;1;1;2;3;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;7;1;1;2;1;1;2;1;1;1;1;2;1;1;1;1;5;1;1;1;2;1;1;3;1;1;1;2;1;1;1;7;1;1;1;1;1;1;4;1;1;2;1;1;1;3;2;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;5;3;1;1;1;1;1;1;3;1;1;2;2;1;3;3;1;1;1;2;1;1;3;1;1;1;2;1;1;1;3;3;1;1;1;2;1;1;1;2;1;1;1;2;1;1;1;7;1;1;2;1;1;1;2;1;1;1;2;1;1;1;3;4;1;1;2;1;1;1;2;1;1;1;2;1;1;1;1;2;4;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;3;4;1;1;1;1;1;1;3;1;1;1;2;2;1;4;4;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;7;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;3;4;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1;4;3;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1;1;2;4;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;7;1;1;1;1;1;1;3;1;1;1;2;1;1;1;3;5;1;1;1;1;1;4;1;1;2;1;1;10;1;1;1;5;1;1;2;2;1;2;1;3;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;5;1;1;1;1;2;3;2;1;1;1;1;1;1;1;3;4;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;4;2;1;1;1;2;1;1;3;1;1;1;1;1;1;1;3;5;1;1;1;1;1;3;1;1;1;1;2;2;2;6;1;1;1;1;1;3;1;1;1;1;2;1;8;1;1;1;1;7;1;1;1;1;1;1;1;3;2;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;4;1;1;1;1;1;1;7;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;3;5;1;1;1;1;1;1;2;1;1;1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;2;5;1;1;1;2;1;1;3;1;1;1;1;1;1;1;5;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;3;4;1;1;1;2;1;3;1;1;1;1;1;1;1;1;1;2;1;3;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;7;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;3;5;1;1;1;1;1;1;2;1;1;1;1;1;1;9;2;1;1;1;1;2;1;1;1;1;1;2;1;1;1;5;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;2;3;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;3;4;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;4;2;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;3;2;1;1;1;1;1;1;3;3;1;1;1;1;1;1;1;8;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;3;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;3;2;2;1;1;1;1;1;5;1;1;1;1;1;1;1;3;4;1;1;1;1;1;4;1;1;1;1;1;1;1;1;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;3;1;1;1;1;1;1;1;1;1;1;1;1;1;4;2;1;2;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;3;3;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;3;4;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;3;4;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;3;4;1;1;1;1;1;1;1;2;1;1;1;1;1;2;1;5;2;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;4;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;4;1;1;1;1;2;1;1;1;1;1;2;1;1;1;3;2;2;1;1;1;1;1;4;1;1;1;1;1;6;4;1;1;1;1;1;1;3;1;1;1;1;1;1;1;6;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;1;3;1;1;1;2;2;1;2;1;1;3;1;1;1;4;2;1;1;1;1;1;1;5;1;1;1;1;1;1;1;3;3;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;3;1;2;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;3;3;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;4;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;6;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;3;3;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;3;3;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;4;5;1;1;1;1;1;3;1;1;1;1;1;1;6;3;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;7;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;6;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;3;3;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;3;2;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;2;3;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;6;1;1;1;1;1;3;1;1;1;1;1;1;1;3;4;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;6;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;2;1;1;1;1;2;1;1;1;1;1;1;1;5;4;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;4;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;2;4;1;1;1;1;1;4;2;1;1;1;1;1;1;1;5;1;1;1;3;1;2;1;3;1;1;1;1;1;1;3;3;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;5;3;1;1;1;1;4;1;1;1;1;1;1;1;1;3;3;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;3;4;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;6;1;1;1;1;1;1;1;4;1;1;1;1;1;1;6;2;1;1;1;1;1;1;4;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;6;1;1;1;1;1;1;1;2;3;1;1;1;1;1;1;1;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;4;2;1;1;1;1;1;4;2;1;1;1;1;1;1;1;3;1;2;1;1;1;2;1;1;1;1;3;1;1;1;2;3;1;4;1;1;1;1;1;1;3;1;1;1;1;1;2;4;3;1;1;1;1;1;1;4;1;1;1;1;1;2;1;2;3;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;3;2;1;1;1;1;1;1;4;2;2;1;1;1;1;1;4;2;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;4;2;1;1;1;1;1;1;6;1;1;1;1;1;1;3;3;1;1;1;1;1;1;5;1;1;1;1;2;1;1;2;3;1;1;1;1;1;1;4;1;1;1;1;1;2;1;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;2;6;1;1;1;1;1;3;1;1;1;1;1;1;2;5;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;3;1;1;2;1;4;2;1;1;1;1;1;1;3;1;1;1;1;1;3;1;6;1;1;1;1;2;1;1;4;1;1;1;2;5;2;1;1;1;1;1;1;4;1;1;1;1;1;1;1;4;3;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;2;4;1;1;1;1;1;5;1;1;1;1;1;2;1;5;1;1;1;1;1;1;1;4;1;1;1;1;1;2;1;6;1;1;1;1;1;1;3;1;1;1;1;1;1;2;1;1;2;3;2;1;1;1;3;3;1;1;1;1;2;3;4;2;1;1;1;1;1;3;1;1;1;1;1;2;7;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;3;1;2;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;5;1;1;1;1;5;4;3;2;1;3;2;1;1;1;1;1;1;1;4;2;1;1;1;2;1;5;1;1;1;1;1;1;1;5;1;1;1;1;2;1;1;1;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;7;1;1;1;1;2;2;3;2;1;2;1;2;4;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;3;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;6;1;1;1;2;1;1;4;2;1;1;2;1;1;1;4;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;3;3;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;5;1;1;1;1;2;1;6;2;1;1;1;1;5;1;1;1;3;5;2;1;1;1;1;1;2;2;2;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;3;2;1;1;1;1;1;1;2;1;3;1;1;1;1;1;1;3;1;2;1;1;1;1;3;1;3;1;1;1;1;2;1;1;1;1;3;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;5;2;2;1;1;1;1;1;3;1;1;1;1;1;2;3;2;2;1;1;1;1;1;2;3;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;6;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;2;3;1;1;1;1;1;1;1;1;3;3;1;1;1;1;1;1;1;1;2;1;1;1;1;2;3;5;2;1;1;2;5;1;1;1;1;1;1;4;2;1;1;1;1;1;1;2;2;1;1;1;1;1;2;1;2;3;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;3;2;1;1;1;1;1;1;2;3;1;1;1;1;1;1;1;5;1;1;1;1;1;3;2;2;4;1;1;1;1;3;2;1;1;1;3;4;3;1;1;2;1;1;3;3;2;1;1;1;1;3;2;1;1;1;2;1;6;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;3;3;1;1;1;1;1;1;5;1;1;1;1;2;1;1;3;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;5;2;5;1;1;1;1;1;1;1;4;1;1;1;1;1;1;3;2;3;1;1;1;1;2;3;1;1;1;1;1;2;4;3;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;3;3;1;1;1;1;1;5;1;1;1;1;3;3;1;3;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;4;1;2;1;3;2;5;1;1;1;1;1;7;1;1;3;8;2;1;1;1;4;2;1;1;1;2;2;1;1;4;2;1;1;1;2;2;2;1;1;1;2;4;3;1;1;1;1;1;1;3;2;1;1;1;1;1;1;1;7;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;6;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;3;1;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;7;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;2;4;1;1;1;1;3;4;1;1;1;1;1;3;2;2;1;1;1;1;1;1;3;1;1;1;1;1;2;1;4;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;2;5;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;5;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;2;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;2;3;1;1;1;1;1;4;3;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;4;1;2;1;1;1;1;4;4;1;2;1;1;1;3;1;1;1;1;1;1;1;1;3;3;2;1;1;1;1;1;3;2;1;1;1;1;1;1;1;2;1;3;1;1;1;4;4;3;2;1;1;3;2;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;2;1;1;1;2;1;2;1;8;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;6;2;1;1;1;5;2;2;2;4;3;3;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;1;1;1;1;1;4;2;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;4;2;1;1;1;1;1;1;5;1;1;1;2;1;1;1;4;3;1;1;1;1;2;3;1;1;3;1;9;1;1;1;1;1;3;1;1;1;1;2;3;5;2;1;1;1;1;1;2;2;1;1;1;1;2;1;4;2;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;3;3;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;6;1;1;1;1;1;1;3;2;1;1;1;1;1;1;1;4;2;1;1;1;1;1;1;1;5;1;1;1;1;1;1;4;2;2;1;1;1;1;1;2;2;1;1;1;1;1;2;6;2;1;1;1;1;3;1;1;1;1;1;1;2;3;4;1;1;1;1;1;1;3;2;1;1;1;1;1;1;1;6;1;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;3;3;1;1;1;1;1;1;5;1;1;1;1;1;1;1;3;3;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;5;1;1;1;1;1;1;2;6;1;1;1;1;1;2;2;1;1;1;1;1;1;1;9;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;3;2;1;1;1;1;1;1;1;4;1;1;1;1;1;1;5;2;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;4;3;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;3;2;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;5;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;3;4;2;1;1;1;1;2;1;1;1;1;1;2;2;1;6;1;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;4;2;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;2;3;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;6;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;5;1;1;1;1;2;4;3;1;1;1;1;1;2;3;2;3;1;1;1;1;3;1;1;1;1;2;2;6;3;1;1;1;3;1;1;1;1;1;2;1;2;2;3;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;3;3;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;2;2;3;3;1;1;1;1;1;2;1;1;1;1;1;2;4;5;1;1;1;1;1;3;1;1;1;1;2;1;3;4;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;2;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;6;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;7;1;2;1;1;1;4;3;1;1;1;1;2;2;2;1;1;1;1;3;3;1;1;2;1;1;1;1;7;3;2;1;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;6;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;7;2;1;1;1;2;3;1;1;1;4;3;6;1;1;1;3;1;1;1;1;1;2;1;5;2;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;3;3;1;1;1;1;1;1;3;2;1;1;2;1;1;1;6;1;1;1;1;1;1;3;2;1;1;2;1;1;1;1;1;4;1;1;1;2;1;4;1;1;1;2;1;1;1;3;3;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;2;2;3;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;2;1;3;3;1;2;1;3;1;1;1;2;1;1;2;5;1;1;1;1;1;1;3;1;1;1;1;2;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;6;1;1;1;1;1;2;2;2;1;1;2;1;1;1;4;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;6;1;1;2;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;3;2;1;1;1;1;3;1;1;1;2;1;1;3;1;1;5;1;2;1;4;1;1;1;1;1;1;1;5;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;5;1;1;1;1;1;1;1;3;2;1;1;1;2;1;1;2;1;2;1;1;2;1;1;1;3;4;1;1;1;1;1;1;4;1;1;1;1;1;1;1;6;1;1;1;1;1;1;1;4;1;1;2;1;1;1;1;7;1;1;1;1;1;1;1;1;1;1;1;3;6;4;1;1;1;1;1;4;1;1;2;1;1;1;6;1;1;1;1;1;1;5;1;1;2;1;1;1;1;5;1;1;1;1;1;1;5;1;1;2;1;1;1;1;4;2;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;7;1;1;1;1;6;1;1;2;1;1;1;3;4;1;1;1;7;1;1;1;1;1;1;1;1;3;1;2;1;1;1;7;1;2;2;2;5;3;1;1;1;1;1;3;1;1;1;2;1;1;1;3;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;4;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1;7;1;1;1;1;1;3;1;1;1;3;1;1;1;1;4;2;1;1;1;4;2;1;1;1;1;1;1;1;1;7;1;1;1;1;1;1;2;1;1;1;3;1;1;1;3;4;1;1;1;1;2;1;1;1;1;1;2;2;1;1;1;5;2;1;1;1;1;4;2;2;1;1;1;1;7;1;1;1;1;1;3;2;1;1;2;1;1;1;1;2;4;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;3;4;1;1;1;1;1;1;3;1;1;2;1;1;1;1;1;5;1;1;1;1;1;1;1;2;1;1;1;3;1;1;1;4;3;1;1;1;1;1;1;2;1;1;1;3;1;1;1;2;3;3;1;1;1;3;3;1;2;2;2;9;1;1;1;4;1;1;2;1;1;1;1;3;2;2;1;1;1;1;1;1;2;2;1;3;1;1;1;1;1;4;1;1;1;2;6;1;3;1;1;1;7;1;1;2;1;2;3;1;3;1;1;1;7;1;1;2;2;4;1;3;1;1;1;1;2;4;1;1;2;1;3;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;4;2;9;1;1;1;5;1;1;1;1;1;1;5;3;1;1;2;4;2;1;3;1;1;1;1;1;5;1;1;2;1;4;1;1;2;1;1;1;1;3;4;1;1;2;6;1;2;1;1;1;1;4;3;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;3;1;1;1;3;5;1;2;1;1;1;2;1;1;2;2;2;4;4;1;1;1;1;1;3;1;1;4;1;8;1;1;2;1;1;3;1;1;2;1;1;1;1;1;3;3;1;1;1;1;1;2;2;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;3;1;3;1;1;1;1;1;1;3;1;1;2;1;2;3;1;1;3;1;1;1;5;2;1;1;1;1;1;5;1;2;1;1;1;1;6;2;1;1;1;1;1;3;1;1;4;2;5;3;1;1;1;2;1;3;1;3;2;1;1;6;1;1;2;6;1;3;1;1;1;3;4;1;1;1;1;5;1;1;3;1;1;1;7;1;1;1;1;4;1;1;1;3;1;1;1;7;1;1;1;1;1;1;3;1;1;3;1;1;1;3;4;1;1;2;6;1;3;1;1;1;3;5;1;2;6;1;4;2;5;3;1;1;1;1;1;3;1;1;4;1;1;7;1;1;2;2;1;1;2;1;3;1;1;1;3;2;2;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;3;2;2;1;1;2;4;2;1;3;1;1;1;3;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;5;1;1;1;2;1;1;3;1;1;3;1;1;1;3;5;1;1;1;1;1;3;1;1;1;2;2;1;3;3;3;1;1;3;3;1;1;1;1;1;1;1;1;6;1;1;2;1;1;2;1;1;1;3;1;1;1;1,1,explicit
UK_E_ENS,2050,1,1,uniform
UK_Gas,2050,1,1,uniform
UK_H_Demand,2050,1,1,uniform
UK_Hydro,2050,1,1,uniform
UK_Nuclear,2050,1,1,uniform
UK_OCGT,2050,1,1,uniform
UK_Pump_Hydro_Closed,2050,24,1,uniform
